Maximum Temperature,Minimum Temperature,Temperature,Heat Index,Precipitation,Wind Speed,Wind Direction,Visibility,Cloud Cover,Relative Humidity
32,32,32,35.8,0,3.6,,7,27.5,55.56
26.3,26.3,26.3,,4,13,240,4,66.6,83.77
25,25,25,,0,11.2,240,2,50,88.68
,,,,0,,,,,
25,25,25,,16,14.8,290,4,66.6,89.58
,,,,0,,,,,
25,25,25,,0,11.2,270,5,50,94.19
24.9,24.9,24.9,,3,11.2,280,5,66.6,94.56
24,24,24,,0,9.4,240,6,27.5,94.15
24,24,24,,0,14.8,270,6,27.5,94.15
24.1,24.1,24.1,,0.2,3.6,230,6,51.6,94.15
24,24,24,,0,11.2,290,6,0,94.15
,,,,0,,,,,
24.4,24.4,24.4,,0,0,,6,100,93.03
24,24,24,,0,1.8,290,7,0,94.15
25,25,25,,0,0,0,5,27.5,88.68
25.9,25.9,25.9,,0,0,0,6,38.3,90
27,27,27,30.1,0,5.4,10,8,27.5,83.68
29,29,29,33.6,0,11.2,20,7,27.5,74.47
29.3,29.3,29.3,34.5,0,6.8,53,8,51.6,75.26
29,29,29,33.6,0,13,40,8,50,74.47
29,29,29,32.7,0,18.4,30,9,50,70.11
28.2,28.2,28.2,31.9,0,22.3,30,8,51.6,75.99
,,,,0,,,,,
27,27,27,29.6,0,11.2,160,8,27.5,78.78
26.4,26.4,26.4,,0,9.4,190,10,100,85.13
25,25,25,,0,9.4,180,10.5,27.5,83.45
,,,,0,,,,,
25.9,25.9,25.9,,0,0,0,10.3,48.3,81.05
25,25,25,,0,7.6,250,10.5,27.5,83.45
25,25,25,,0,3.6,280,10.5,27.5,88.68
25,25,25,,0,5.4,270,10.3,48.3,89.04
25,25,25,,0,5.4,270,10.5,27.5,88.68
25,25,25,,0,9.4,250,10.5,27.5,88.68
24.7,24.7,24.7,,0,11.2,280,10,80,94.18
,,,,0,,,,,
,,,,0,,,,,
24.1,24.1,24.1,,0,11.2,300,10.3,48.3,89.51
24,24,24,,0,9.4,260,10.5,27.5,88.6
24,24,24,,0,7.6,290,10.5,27.5,94.15
25,25,25,,0,7.6,270,8,48.3,84.82
27,27,27,29.2,0,5.4,260,10.5,27.5,74.14
28,28,28,30.7,0,11.2,270,10.5,27.5,69.92
29,29,29,32.3,0,13,270,10.3,48.3,68
,,,,0,,,,,
,,,,0,,,,,
29,29,29,34.2,0,9.4,220,10.3,63.3,77.04
30,30,30,34.1,0,11.2,230,10.5,50,66.18
25,25,25,,0,25.9,270,10.5,50,83.45
26,26,26,,0.7,9.4,290,10.3,66.6,85.6
26,26,26,,0,5.4,270,10.5,50,88.76
26,26,26,,0,9.4,240,6,50,83.57
26,26,26,,0.1,7.6,240,8,51.6,81.23
,,,,0,,,,,
25,25,25,,0,5.4,260,10.5,27.5,88.68
25,25,25,,0,3.6,280,10.3,48.3,89.04
25,25,25,,0,5.4,280,10,0,88.68
25,25,25,,0,7.6,300,10,0,88.68
25,25,25,,0,9.4,280,10,40,88.68
25,25,25,,0,9.4,270,10,0,88.68
,,,,0,,,,,
24.7,24.7,24.7,,0,7.6,250,5,90,94.18
24,24,24,,0,9.4,310,5,0,94.15
,,,,0,,,,,
26,26,26,,0,13,260,6,38.3,84.07
27,27,27,29.6,0,13,270,8,27.5,78.78
29,29,29,32.7,0,11.2,240,8,27.5,70.11
30,30,30,33.7,0,14.8,270,10.3,38.3,63.56
31,31,31,34.6,0,14.8,270,10.5,50,58.81
31,31,31,34.6,0,25.9,300,10.5,27.5,58.81
30.1,30.1,30.1,33.5,0,37.1,310,9,66.6,62.05
27,27,27,29.6,0,25.9,320,7,50,78.78
27,27,27,29.6,0,24.1,310,6,89,78.78
26.2,26.2,26.2,,2,15.4,260,7,66.6,83.59
,,,,0,,,,,
24,24,24,,0,13,240,4,89,94.15
23.9,23.9,23.9,,10,25.3,230,5,92.7,91.32
24,24,24,,0,16.6,250,6,89,88.6
24,24,24,,0,14.8,250,9,89,83.34
24,24,24,,1,8.8,217,9,66.6,85.57
24,24,24,,0,5.4,280,9,50,83.34
23,23,23,,0,5.4,300,9,50,88.52
23.6,23.6,23.6,,0,0,,9,100,91.87
23,23,23,,0,3.6,,9,27.5,94.11
,,,,0,,,,,
23.4,23.4,23.4,,0,0,,8,90,94.12
23,23,23,,0,7.6,270,8,27.5,94.11
24.1,24.1,24.1,,0,7.6,250,8,50,88.33
24,24,24,,0,5.4,220,8,50,88.6
25,25,25,,0,1.8,,8,50,83.45
27,27,27,29.6,0,1.8,,10.5,27.5,78.78
28.1,28.1,28.1,31.8,0,7.6,290,10,90,77.05
29,29,29,32,0,7.6,230,10.5,27.5,65.98
30,30,30,34.1,0,9.4,280,10.5,27.5,66.18
31.8,31.8,31.8,36,0,16.6,290,10.3,63.3,57.81
,,,,0,,,,,
30,30,30,34.1,0,14.8,300,10.5,50,66.18
28.3,28.3,28.3,31.3,0,13,150,10.3,48.3,70.69
25,25,25,,0,13,170,8,89,83.45
24,24,24,,0,1.8,,6,89,88.6
25,25,25,,0,1.2,,6,92.7,90.11
25,25,25,,0,0,0,6,89,94.19
25,25,25,,0,5.4,310,7,50,94.19
25,25,25,,1,13,290,8,46.7,93.82
25,25,25,,0,7.6,300,8,50,94.19
25,25,25,,0,9.4,290,8,50,94.19
25,25,25,,0,0,0,8,66.6,94.19
,,,,0,,,,,
25,25,25,,0,14.8,310,8,50,94.19
24.4,24.4,24.4,,0,5.4,290,8,66.6,93.22
24,24,24,,0,3.6,270,8,50,94.15
,,,,0,,,,,
26,26,26,,8.9,11.2,280,6,0,85.6
28,28,28,31.3,0,7.6,270,6,0,74.3
29,29,29,32.7,0,7.6,250,7,0,70.11
29.1,29.1,29.1,33.9,0,7.6,210,7,45,74.78
31,31,31,35.5,0,11.2,240,8,27.5,62.5
32,32,32,35.8,0,14.8,260,10.5,27.5,55.56
33,33,33,37,0,20.5,260,10.3,63.3,52.72
33,33,33,38.1,0,16.6,270,10.5,50,55.81
33,33,33,37,0,25.9,310,8,50,52.52
25.7,25.7,25.7,,3,9.4,180,6,90,86.88
26,26,26,,0,14.8,330,5,50,83.57
25,25,25,,0,11.2,320,7,50,88.68
25.1,25.1,25.1,,0.8,9.4,280,7,51.6,89.58
25,25,25,,0,5.4,250,7,27.5,88.68
25,25,25,,0,9.4,260,8,27.5,94.19
25.9,25.9,25.9,,0.1,5.4,260,8,51.6,85.59
25,25,25,,0,5.4,250,8,27.5,88.68
25,25,25,,0,0,0,8,27.5,88.68
25.2,25.2,25.2,,0,0,0,8,51.6,89.59
25,25,25,,0,7.6,320,8,27.5,94.19
,,,,0,,,,,
25.2,25.2,25.2,,0,5,320,7.3,51.6,89.59
24,24,24,,0,9.4,290,5,27.5,94.15
25,25,25,,0,11.2,310,4,0,94.19
26,26,26,,0,7.6,300,10.3,35,88.59
28,28,28,31.3,0,5.4,230,10.5,27.5,74.3
30,30,30,33.3,0,13,250,10.5,27.5,62.28
31,31,31,35.3,0,18.4,290,10.3,45,62.24
32,32,32,35.8,0,22.3,280,10.5,27.5,55.56
32,32,32,35.8,0,18.4,270,10.5,50,55.56
30,30,30,34.4,0,18.4,330,10.3,63.3,66.99
31,31,31,36.5,0,31.3,320,10.5,50,66.38
25,25,25,,0,20.5,250,6,50,78.5
25,25,25,,0.5,16.6,270,6,66.6,86.02
24,24,24,,0,13,330,6,27.5,88.6
25,25,25,,0,13,210,7,27.5,88.68
25,25,25,,2,9.4,170,7,51.6,89.93
25,25,25,,0,5.4,220,7,27.5,88.68
26,26,26,,0,3.6,,7,50,83.57
25.1,25.1,25.1,,0,0,0,7,48.3,89.95
25,25,25,,0,0,0,7,27.5,88.68
25,25,25,,0,0,0,7,27.5,88.68
24.3,24.3,24.3,,0,0,0,7,25,93.59
,,,,0,,,,,
,,,,0,,,,,
24,24,24,,0,5.4,240,7,0,94.15
24,24,24,,0,11.2,290,7,0,94.15
24,24,24,,0,1.8,240,7,27.5,88.6
25.9,25.9,25.9,,0,1.2,120,8,38.3,89.46
28,28,28,31.3,0,13,280,9,27.5,74.3
30,30,30,34.1,0,18.4,280,10.5,27.5,66.18
30.2,30.2,30.2,33.9,0,26.5,270,10.3,45,62.83
31,31,31,36.5,0,24.1,290,10.5,50,66.38
32,32,32,36.8,0,24.1,290,10.5,50,59.04
31.1,31.1,31.1,35,0,25.9,283,10.3,60,59.68
,,,,0,,,,,
,,,,0,,,,,
29,29,29,32.2,0,35.3,310,10.3,48.3,66.66
29,29,29,32,0,220.3,290,10.5,27.5,65.98
28,28,28,30.7,0,20.5,300,10.5,27.5,69.92
28,28,28,30.7,0,20.5,290,10.3,35,71.34
27,27,27,29.2,0,18.4,290,10.5,27.5,74.14
26,26,26,,0,14.8,280,10.5,27.5,78.64
26.1,26.1,26.1,,0,18.4,260,10.3,31.7,80.75
26,26,26,,0,14.8,270,10.5,27.5,78.64
26,26,26,,0,14.8,270,10.5,27.5,78.64
25.2,25.2,25.2,,0,11.8,280,5.3,40,84.16
25,25,25,,0,14.8,270,10.5,27.5,83.45
,,,,0,,,,,
25,25,25,,0,11.2,280,10.3,31.7,85.17
25,25,25,,0,9.4,280,10.5,27.5,88.68
25,25,25,,0,20.5,290,10.5,50,83.45
25.1,25.1,25.1,,0,15.4,283,10.3,63.3,88.16
26,26,26,,0,20.5,280,10.5,27.5,83.57
28,28,28,31.3,0,29.5,280,10.5,27.5,74.3
29,29,29,32.7,0,28.9,273,10.3,89.3,70.52
30,30,30,33.3,0,38.9,280,10.5,50,62.28
31,31,31,34.6,0,38.9,290,10.5,50,58.81
30,30,30,33.7,0,28.9,290,10.3,63.3,63.56
29,29,29,32,0,31.3,320,10.5,50,65.98
29,29,29,32,0,29.5,310,10.5,27.5,65.98
29,29,29,32.3,0,24.7,290,10.3,48.3,68
,,,,0,,,,,
,,,,0,,,,,
27.1,27.1,27.1,28.8,0,23.5,283,10.3,48.3,67.36
27,27,27,28.8,0,18.4,280,10.5,27.5,69.74
26,26,26,,0,14.8,290,10.5,27.5,73.97
25.3,25.3,25.3,,0,13,280,10.3,45,79.03
,,,,0,,,,,
,,,,0,,,,,
25.2,25.2,25.2,,0,15.4,270,10.3,48.3,83.48
,,,,0,,,,,
,,,,0,,,,,
25,25,25,,0,10,253,10.3,48.3,84.48
25,25,25,,0,9.4,260,9,27.5,83.45
,,,,0,,,,,
25.7,25.7,25.7,,0,20.5,300,10,90,81.03
,,,,0,,,,,
27,27,27,29.2,0,25.9,280,10.5,27.5,74.14
28.9,28.9,28.9,32.7,0,25.9,290,10.3,48.3,71.37
30,30,30,34.1,0,27.7,290,10.5,50,66.18
30,30,30,34.1,0,29.5,300,10.5,27.5,66.18
30.1,30.1,30.1,34.3,0,35.3,310,10.3,63.3,65.81
29,29,29,32.7,0,35.3,300,10.5,50,70.11
29,29,29,32,0,29.5,310,10.5,50,65.98
28.1,28.1,28.1,30.9,0,27.1,293,10.3,48.3,70.23
28,28,28,30.1,0,22.3,280,10.5,27.5,65.77
27,27,27,28.8,0,24.1,280,10.5,27.5,69.74
27,27,27,29.3,0,14.8,277,10.3,48.3,74.29
26,26,26,,0,16.6,300,10.5,27.5,78.64
26,26,26,,0,16.6,280,10.5,27.5,78.64
26.1,26.1,26.1,,0,18.4,273,10.3,48.3,78.98
26,26,26,,0,18.4,280,10.5,27.5,78.64
26,26,26,,0,18.4,290,10.5,27.5,78.64
26,26,26,,0,18.4,283,10.3,38.3,80.25
26,26,26,,0,14.8,280,10.5,27.5,78.64
,,,,0,,,,,
25.2,25.2,25.2,,0,15.4,270,10.3,48.3,83.82
25,25,25,,0,16.6,270,10.5,27.5,83.45
25,25,25,,0,16.6,260,10.5,27.5,83.45
26.1,26.1,26.1,,0,22.3,270,10.3,31.7,83.58
,,,,0,,,,,
29,29,29,32.7,0,24.1,270,10.5,50,70.11
30.7,30.7,30.7,35.6,0,31.3,280,10,80,65.91
30,30,30,34.1,0,29.5,290,10.5,50,66.18
29,29,29,32,0,37.1,300,10.5,50,65.98
29.1,29.1,29.1,32.5,0,29.5,300,10,100,68.02
29,29,29,32,0,31.3,300,10.5,50,65.98
29,29,29,32.7,0,27.7,300,10.5,50,70.11
29,29,29,32.2,0,24.1,300,10.3,66.6,67.73
28,28,28,31.3,0,24.1,300,10.5,89,74.3
28,28,28,30.7,0,20.5,300,10.5,89,69.92
26.9,26.9,26.9,29.4,0,16.6,290,10,100,80.2
26,26,26,,0,13,280,10.5,50,78.64
26,26,26,,0,14.8,280,8,50,83.57
26,26,26,,0,18.4,280,10.3,66.6,80.26
26,26,26,,0,16.6,280,10.5,50,78.64
26,26,26,,0,16.6,260,10.5,50,78.64
26,26,26,,0,22.3,280,10.3,63.3,80.73
,,,,0,,,,,
,,,,0,,,,,
25.1,25.1,25.1,,0,16.6,270,10.3,48.3,84.83
,,,,0,,,,,
25,25,25,,0,16.6,270,10.5,27.5,83.45
26,26,26,,0,16,280,8,48.3,80.73
27,27,27,29.2,0,20.5,270,9,27.5,74.14
,,,,0,,,,,
30.2,30.2,30.2,34.7,0,29.5,270,10,80,67.02
30,30,30,33.3,0,40.7,280,10.5,27.5,62.28
30,30,30,33.3,0,37.1,280,10.5,27.5,62.28
30.1,30.1,30.1,33.8,0,31.3,290,10.3,48.3,63.58
30,30,30,33.3,0,35.3,290,10.5,27.5,62.28
30,30,30,34.1,0,27.7,310,10.5,27.5,66.18
30,30,30,34.2,0,24.1,300,10.3,45,65.99
30,30,30,34.1,0,24.1,300,10.5,27.5,66.18
29,29,29,32,0,20.5,290,10.5,27.5,65.98
28.2,28.2,28.2,31.7,0,18.4,300,10.3,45,74.78
27,27,27,29.6,0,13,300,10.5,27.5,78.78
27,27,27,29.6,0,18.4,280,10.5,27.5,78.78
26.3,26.3,26.3,,0,11.2,290,10.3,48.3,83.6
26,26,26,,0,11.2,290,10.5,27.5,83.57
26,26,26,,0,11.2,270,9,27.5,83.57
26,26,26,,0,13,270,9,48.3,80.26
26,26,26,,0,16.6,260,8,27.5,78.64
25,25,25,,0,11.2,270,8,27.5,83.45
25.1,25.1,25.1,,0,9.4,270,8,48.3,84.32
25,25,25,,0,11.2,270,8,27.5,83.45
25,25,25,,0,5.4,260,7,27.5,83.45
26.9,26.9,26.9,29.4,0,11.2,260,10.3,38.3,79.4
28,28,28,31.3,0,16.6,260,10.5,89,74.3
29,29,29,32,0,18.4,270,10.5,89,65.98
29.3,29.3,29.3,32.9,0,20.5,270,10.3,89.3,66.72
30,30,30,33.3,0,25.9,280,10.5,50,62.28
31,31,31,36.5,0,20.5,290,10.5,27.5,66.38
32.9,32.9,32.9,38.8,0,18.4,260,10.3,60,59
33,33,33,37,0,24.1,280,10.5,50,52.52
32,32,32,36.8,0,20.5,290,10.5,50,59.04
32.9,32.9,32.9,36.8,0,25.9,270,10.3,60,52.7
,,,,0,,,,,
30,30,30,33.3,0,18.4,300,10.5,27.5,62.28
27,27,27,28.5,0,3.6,250,10.5,27.5,65.56
26,26,26,,0,9.4,230,10.5,50,78.64
26,26,26,,0,5.4,220,10.5,27.5,73.97
26.2,26.2,26.2,,0,0,0,10.3,45,78.99
27,27,27,28.8,0,9.4,270,10.5,27.5,69.74
27,27,27,29.2,0,7.6,250,10.5,50,74.14
26.2,26.2,26.2,,0,7.6,260,10.3,60,79.47
26,26,26,,0,5.4,270,10.5,27.5,78.64
,,,,0,,,,,
25.2,25.2,25.2,,0,9.4,270,8,63.3,84.33
,,,,0,,,,,
25,25,25,,0,11.2,230,7,27.5,83.45
26,26,26,,0,9.4,270,7.7,63.3,84.4
28,28,28,30.7,0,9.4,270,10.5,27.5,69.92
29,29,29,32.7,0,7.6,280,10.5,27.5,70.11
30.8,30.8,30.8,35.8,0,13,290,10.3,60,65.68
31,31,31,34.6,0,14.8,290,10.5,50,58.81
32,32,32,35.8,0,16.6,270,10.5,50,55.56
32.2,32.2,32.2,36.3,0,18.4,300,10.3,86,55.62
32,32,32,35.8,0,14.8,280,10.5,89,55.56
31,31,31,35.5,0,16.6,310,10.5,89,62.5
27.1,27.1,27.1,30.4,0.7,11.2,10,4,90,85.2
,,,,0,,,,,
,,,,0,,,,,
24.1,24.1,24.1,,156.3,9.4,220,5,100,98.81
,,,,0,,,,,
24,24,24,,0,7.6,270,5,89,94.15
24,24,24,,2,13,270,8,48.3,94.15
24,24,24,,0,11.2,250,8,27.5,94.15
24,24,24,,0,9.4,260,10.5,27.5,94.15
24,24,24,,0,9.4,260,10,30,94.72
24,24,24,,0,3.6,250,10,0,94.15
,,,,0,,,,,
24.2,24.2,24.2,,0,5.4,240,10,45,94.16
25,25,25,,0,5.4,280,8,27.5,88.68
24,24,24,,0,3.6,260,6,0,94.15
25.9,25.9,25.9,,0,9.4,260,8,60,85.08
28,28,28,30.7,0,13,250,10.5,27.5,69.92
29,29,29,32.7,0,13,270,10.5,27.5,70.11
30,30,30,34.9,0,13,277,10.3,60,70
31,31,31,34.6,0,16.6,280,10.5,50,58.81
32,32,32,36.8,0,14.8,290,10.5,50,59.04
31.7,31.7,31.7,36.5,0,13.6,283,10.3,89.3,60.18
31,31,31,34.6,0,16.6,300,10.5,89,58.81
26,26,26,,0,18.4,310,6,89,83.57
26,26,26,,3,9.4,180,5,92.7,85.61
25,25,25,,0,7.6,190,7,89,88.68
24,24,24,,0,16.6,230,2,89,94.15
24,24,24,,29,13,260,6,92.7,95.49
24,24,24,,0,9.4,270,6,50,94.15
24,24,24,,0,1.8,,8,50,94.15
24.1,24.1,24.1,,5,0,0,10.3,51.6,94.72
,,,,0,,,,,
,,,,0,,,,,
24.2,24.2,24.2,,0.4,0,0,6,51.6,94.54
24,24,24,,0,7.6,280,4,27.5,94.15
,,,,0,,,,,
24.1,24.1,24.1,,0,9.4,260,3,48.3,95.1
24,24,24,,0,1.8,270,4,27.5,94.15
,,,,0,,,,,
24.7,24.7,24.7,,0,0,,2,90,94.18
27,27,27,30.1,0,0,0,4,0,83.68
28,28,28,31.3,0,3.6,,5,27.5,74.3
29.3,29.3,29.3,33.6,0,4.9,130,5,48.3,71.15
29,29,29,32.7,0,5.4,80,6,27.5,70.11
29,29,29,32.7,0,,,7,27.5,70.11
26.4,26.4,26.4,,0,9.4,230,6,63.3,83.44
25,25,25,,0,20.5,340,5,89,83.45
25,25,25,,0,9.4,340,6,50,94.19
26.1,26.1,26.1,,5,10.6,327,5,66.6,89.66
26,26,26,,0,5.4,140,8,50,88.76
26,26,26,,0,5.4,220,7,50,88.76
25.4,25.4,25.4,,4,7.6,130,10,100,94.21
25,25,25,,0,5.4,210,10.5,50,94.19
25,25,25,,0,3.6,,6,50,94.19
25.1,25.1,25.1,,0,0,0,6,63.3,94.2
25,25,25,,0,9.4,280,7,27.5,94.19
25,25,25,,0,9.4,270,7,27.5,94.19
25,25,25,,0,8.8,273,10.3,38.3,89.58
25,25,25,,0,9.4,270,10.5,27.5,88.68
25,25,25,,0,11.2,270,10.5,27.5,88.68
24.2,24.2,24.2,,0,3.6,280,10.3,45,93.22
24,24,24,,0,5.4,290,7,27.5,94.15
,,,,0,,,,,
25.8,25.8,25.8,,0,9.4,300,4,48.3,85.76
,,,,0,,,,,
28,28,28,31.3,0,13,310,10.5,27.5,74.3
28.9,28.9,28.9,32.9,0,13,290,10.3,63.3,72.23
30,30,30,35.1,0,11.2,280,10.5,50,70.29
30,30,30,34.1,0,11.2,300,10.5,50,66.18
28.9,28.9,28.9,32.9,0,14.8,250,10.3,63.3,72.53
30,30,30,34.1,0,1.8,,10.5,50,66.18
,,,,0,,,,,
29,29,29,32.7,0,11.2,330,10.5,27.5,70.11
28,28,28,31.3,0,9.4,290,10.5,27.5,74.3
27,27,27,29.6,0,7.6,200,10.5,89,78.78
27,27,27,29.9,9.9,1.8,250,10.3,66.6,80.87
26,26,26,,0,5.4,240,10.5,27.5,83.57
27,27,27,30.1,0,3.6,,10.5,27.5,83.68
26.2,26.2,26.2,,0,7.6,270,10.3,66.6,83.93
26,26,26,,0,5.4,280,10.5,89,83.57
26,26,26,,0,9.4,280,10.5,50,83.57
26,26,26,,9.9,7.6,270,10.3,66.6,85.44
26,26,26,,0,7.6,260,10.5,50,83.57
,,,,0,,,,,
25.7,25.7,25.7,,0,9.4,280,10,100,91.44
25,25,25,,0,3.6,260,8,0,88.68
,,,,0,,,,,
26,26,26,,0,5.4,280,5,45,89.29
27,27,27,29.6,0,11.2,300,5,27.5,78.78
29,29,29,32.7,0,3.6,,8,27.5,70.11
29.2,29.2,29.2,33.4,0,7.6,170,8,48.3,71.28
30,30,30,34.1,0,7.6,190,9,27.5,66.18
31,31,31,36.5,0,13,150,9,27.5,66.38
30.2,30.2,30.2,34.7,0,9.4,100,10.3,45,66.49
,,,,0,,,,,
30,30,30,34.1,0,14.8,110,10.5,27.5,66.18
26.4,26.4,26.4,,2,24.1,20,1,100,83.6
24,24,24,,0,9.4,110,1,89,94.15
24.1,24.1,24.1,,0,7.6,350,8,50,94.15
25,25,25,,72,5.4,10,7,66.6,89.57
25,25,25,,0,16.6,280,4,50,88.68
24,24,24,,0,16.6,290,5,50,94.15
23.7,23.7,23.7,,9,20.5,290,5,66.6,91.31
23,23,23,,0,18.4,290,5,50,94.11
23,23,23,,0,7.6,270,6,50,94.11
23.2,23.2,23.2,,3,13,290,7,100,97.02
,,,,0,,,,,
,,,,0,,,,,
